"kappa","delta","mean_pct","sd_pct"
-2,0.7,23.1,1.38960215603128
-2,0.8,26.6,1.61715944741469
-2,0.9,30.4666666666667,2.0869967789998
-2,1,33.3333333333333,1.94665705356915
-2,1.1,37.6,2.05651155262543
-2,1.2,41.7,1.47454026932056
-2,1.3,45.8333333333333,1.84644434661492
-1.5,0.7,24.4333333333333,1.45537921345976
-1.5,0.8,27.3666666666667,2.07997975698651
-1.5,0.9,31.5666666666667,1.50282385267327
-1.5,1,35.3,1.9523565008555
-1.5,1.1,39.1666666666667,1.58759813437069
-1.5,1.2,44.0333333333333,1.86660400897346
-1.5,1.3,46.6,2.21531088996134
-1,0.7,25,1.45899107973977
-1,0.8,28.4333333333333,1.56384591155514
-1,0.9,31.7666666666667,1.62257466330881
-1,1,36.2,2.15319699747643
-1,1.1,40.4333333333333,1.50282385267328
-1,1.2,45.4666666666667,1.95385359217346
-1,1.3,49.4333333333333,1.76084774904636
-0.5,0.7,24.8666666666667,1.46857929516892
-0.5,0.8,29.4,1.40008353969635
-0.5,0.9,33.4,1.25935098851778
-0.5,1,37.7,1.76350262842669
-0.5,1.1,43,1.95265601094407
-0.5,1.2,49.3666666666667,1.82862233638409
-0.5,1.3,52.8333333333333,2.204461186505
0,0.7,25.7666666666667,1.35551720777893
0,0.8,30.7666666666667,1.76084774904636
0,0.9,34.7333333333333,1.74248595688502
0,1,46.0333333333333,1.76350262842669
0,1.1,46.5333333333333,1.96578927796957
0,1.2,50.1,1.54881580872508
0,1.3,55.7,1.84136994513699
0.5,0.7,31.7333333333333,1.35767258711413
0.5,0.8,41.0666666666667,1.85308341114343
0.5,0.9,47.0666666666667,1.97528589980411
0.5,1,54.6333333333333,2.13547042080396
0.5,1.1,63.0666666666667,2.48880534529794
0.5,1.2,72.8666666666667,2.31041374993883
0.5,1.3,77.5666666666667,1.54881580872508
1,0.7,52.2333333333333,3.53611277637627
1,0.8,60.9333333333333,1.86566389105486
1,0.9,64.9,1.56384591155514
1,1,71.7333333333333,2.40272749499494
1,1.1,75.8,2.06445835610544
1,1.2,78.9666666666667,2.75702186981592
1,1.3,82.9666666666667,2.42284449327572
1.5,0.7,60.2666666666667,1.52023390013218
1.5,0.8,65.1666666666667,2.15075126273404
1.5,0.9,71.3333333333333,2.14121351612524
1.5,1,76.8,2.62778674132714
1.5,1.1,80.2,1.92369041046673
1.5,1.2,82.6666666666667,2.5316707379014
1.5,1.3,84.5666666666667,1.72053303314079
2,0.7,63.1333333333333,2.30026695628473
2,0.8,70.6666666666667,2.2685234912624
2,0.9,74.3666666666667,2.56357754408978
2,1,79.1666666666667,1.96905890781768
2,1.1,82.5333333333333,2.23318931193126
2,1.2,84.3,1.97617386833617
2,1.3,84.7333333333333,2.39785479175433
